activity_id,institution_id,source_id,experiment_id,frequency,realm,table_id,member_id,grid_label,variable_id,time_range,chunk_freq,platform,dimensions,cell_methods,standard_name,path
,,b.e21.BHIST.f09_g17.CMIP6-historical.001,,mon,ocean,,,,SALT,1850-01-01-2014-12-31,,,,,sea_water_salinity,/adhara_a/emaroon/mdtf/inputdata/model/cesm2/b.e21.BHIST.f09_g17.CMIP6-historical.001/ts/mon/ocean/b.e21.BHIST.f09_g17.CMIP6-historical.001.SALT.mon.nc
,,b.e21.BHIST.f09_g17.CMIP6-historical.001,,mon,ocean,,,,SFWF,1850-01-01-2014-12-31,,,,,water_flux_into_sea_water,/adhara_a/emaroon/mdtf/inputdata/model/cesm2/b.e21.BHIST.f09_g17.CMIP6-historical.001/ts/mon/ocean/b.e21.BHIST.f09_g17.CMIP6-historical.001.SFWF.mon.nc
,,b.e21.BHIST.f09_g17.CMIP6-historical.001,,mon,ocean,,,,SHF,1850-01-01-2014-12-31,,,,,surface_downward_heat_flux_in_sea_water,/adhara_a/emaroon/mdtf/inputdata/model/cesm2/b.e21.BHIST.f09_g17.CMIP6-historical.001/ts/mon/ocean/b.e21.BHIST.f09_g17.CMIP6-historical.001.SHF.mon.nc
,,b.e21.BHIST.f09_g17.CMIP6-historical.001,,mon,ocean,,,,SST,1850-01-01-2014-12-31,,,,,sea_surface_temperature,/adhara_a/emaroon/mdtf/inputdata/model/cesm2/b.e21.BHIST.f09_g17.CMIP6-historical.001/ts/mon/ocean/b.e21.BHIST.f09_g17.CMIP6-historical.001.SST.mon.nc
,,b.e21.BHIST.f09_g17.CMIP6-historical.001,,fx,ocean,,,,TAREA,,,,,,cell_area,/adhara_a/emaroon/mdtf/inputdata/model/cesm2/b.e21.BHIST.f09_g17.CMIP6-historical.001/ts/mon/ocean/b.e21.BHIST.f09_g17.CMIP6-historical.001.TAREA.mon.nc
,,b.e21.BHIST.f09_g17.CMIP6-historical.001,,mon,ocean,,,,MOC,1850-01-01-2014-12-31,,,,,ocean_meridional_overturning_mass_streamfunction,/adhara_a/emaroon/mdtf/inputdata/model/cesm2/b.e21.BHIST.f09_g17.CMIP6-historical.001/ts/mon/ocean/b.e21.BHIST.f09_g17.CMIP6-historical.001.MOC.mon.nc
,,b.e21.BHIST.f09_g17.CMIP6-historical.001,,mon,ocean,,,,TEMP,1850-01-01-2014-12-31,,,,,sea_water_potential_temperature,/adhara_a/emaroon/mdtf/inputdata/model/cesm2/b.e21.BHIST.f09_g17.CMIP6-historical.001/ts/mon/ocean/b.e21.BHIST.f09_g17.CMIP6-historical.001.TEMP.mon.nc
,,b.e21.BHIST.f09_g17.CMIP6-historical.001,,mon,ocean,,,,VVEL,1850-01-01-2014-12-31,,,,,sea_water_y_velocity,/adhara_a/emaroon/mdtf/inputdata/model/cesm2/b.e21.BHIST.f09_g17.CMIP6-historical.001/ts/mon/ocean/b.e21.BHIST.f09_g17.CMIP6-historical.001.VVEL.mon.nc
,,b.e21.BHIST.f09_g17.CMIP6-historical.001,,mon,ocean,,,,UVEL,1850-01-01-2014-12-31,,,,,sea_water_x_velocity,/adhara_a/emaroon/mdtf/inputdata/model/cesm2/b.e21.BHIST.f09_g17.CMIP6-historical.001/ts/mon/ocean/b.e21.BHIST.f09_g17.CMIP6-historical.001.UVEL.mon.nc

